어제 열린 전국시도교육감 협의회 에서,O O ISSUE-B ISSUE-I O
첫번째 인터븁니다.,O O
대학 재정에 법인의 기여도가 평균 사 퍼센트로 나머지 부담은 학생들의 등록금으로 메워야 하는 게 현실인데요.,O O O O O O O O O O O O O O O
문재인 정부의 핵심 국정과제 가운데 하나인 유아교육에 대한 국가책임을 확대하기 위해,PER-B O O O O O O O O O O
결혼시장에서 여성에 나이를 진짜 중요하게 생각하잖아요.,O O O O O O
취업제한에서 풀린 성범죄자를 여가부 여성가족부 에서 사만 명 추정하고 있다는데.,O O O O O O O O O O
워라밸의 삶을 중요시하는 청춘들이,O O O O
한국 에서 가장 유력한 노벨상 후보로 꼽혔던 고은 시인이 성폭력 가해자로 지목되는 등,LOC-B O O O ISSUE-B O O PER-B O O O O O
늘어난 배경이 뭡니까?,O O O
네 앞서 보셨듯이 이천이십일학년도 수능 에선 수학과 국어영역 출제범위에 대한 관심이 뜨겁습니다.,O O O O ISSUE-B O O O O O O O
학교에 목표가 참 무서운게 우리 학생들이 좋은 어른이 돼서 성장해서 나가는게 아니라,O O O O O O O O O O O O
오늘도 이릏게 여성들이 살아가는 냉혹한 현실에 대해서,O O O O O O O
팔팔 서울올림픽 이후 삼십년 만에 대한민국 에서 펼쳐진,ISSUE-B ISSUE-I O O O LOC-B O O
서울 강남 과 서초 지역의 초등학교들이 경력 교사 부족으로 몸살 을 앓고 있습니다.,LOC-B LOC-B O LOC-B O O O O O ISSUE-B O O O
새누리당이 지난,O O
첫 번째 인터뷰 시간입니다.,O O O O
네 안녕하세요,O O
